TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,b,b,b,x,b,o,x,o,X
x,b,o,b,x,b,o,x,o,X
x,b,o,b,x,x,o,x,o,X
x,o,o,b,x,x,o,x,o,X
x,o,o,x,x,x,o,x,o,X
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,b,b,b,o,X
b,b,b,x,x,b,b,b,o,X
b,b,b,x,x,b,b,o,o,X
b,b,x,x,x,b,b,o,o,X
o,b,x,x,x,b,b,o,o,X
o,b,x,x,x,b,x,o,o,X
b,b,b,b,x,b,b,b,b,D
b,o,b,b,x,b,b,b,b,D
x,o,b,b,x,b,b,b,b,D
x,o,b,o,x,b,b,b,b,D
x,o,b,o,x,b,b,x,b,D
x,o,b,o,x,b,b,x,o,D
x,o,x,o,x,b,b,x,o,D
x,o,x,o,x,b,o,x,o,D
x,o,x,o,x,x,o,x,o,D
b,b,b,b,b,b,b,x,b,X
b,b,b,b,b,b,o,x,b,X
b,b,b,b,b,b,o,x,x,X
b,o,b,b,b,b,o,x,x,X
x,o,b,b,b,b,o,x,x,X
x,o,b,o,b,b,o,x,x,X
x,o,x,o,b,b,o,x,x,X
x,o,x,o,b,o,o,x,x,X
x,o,x,o,x,o,o,x,x,X
b,x,b,b,b,b,b,b,b,D
b,x,o,b,b,b,b,b,b,D
b,x,o,b,b,b,x,b,b,D
b,x,o,b,b,b,x,o,b,D
x,x,o,b,b,b,x,o,b,D
x,x,o,b,b,b,x,o,o,D
x,x,o,b,b,x,x,o,o,D
x,x,o,o,b,x,x,o,o,D
x,x,o,o,x,x,x,o,o,D
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,o,b,b,b,X
b,x,b,b,b,o,b,b,x,X
b,x,o,b,b,o,b,b,x,X
b,x,o,b,x,o,b,b,x,X
b,x,o,b,x,o,o,b,x,X
b,x,o,x,x,o,o,b,x,X
o,x,o,x,x,o,o,b,x,X
o,x,o,x,x,o,o,x,x,X
b,b,b,b,b,b,x,b,b,X
b,b,b,b,o,b,x,b,b,X
b,b,b,b,o,b,x,x,b,X
b,b,b,b,o,o,x,x,b,X
x,b,b,b,o,o,x,x,b,X
x,o,b,b,o,o,x,x,b,X
x,o,b,x,o,o,x,x,b,X
b,b,x,b,b,b,b,b,b,O
o,b,x,b,b,b,b,b,b,O
o,x,x,b,b,b,b,b,b,O
o,x,x,b,b,b,b,o,b,O
o,x,x,b,x,b,b,o,b,O
o,x,x,o,x,b,b,o,b,O
o,x,x,o,x,b,b,o,x,O
o,x,x,o,x,b,o,o,x,O
b,b,b,b,b,b,b,b,x,O
b,b,b,b,b,b,b,o,x,O
b,x,b,b,b,b,b,o,x,O
b,x,b,b,o,b,b,o,x,O
b,x,x,b,o,b,b,o,x,O
b,x,x,b,o,o,b,o,x,O
b,x,x,b,o,o,x,o,x,O
b,x,x,o,o,o,x,o,x,O
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,o,b,b,b,X
b,b,b,b,x,o,x,b,b,X
b,b,b,b,x,o,x,o,b,X
b,b,b,b,x,o,x,o,x,X
o,b,b,b,x,o,x,o,x,X
o,b,x,b,x,o,x,o,x,X
b,b,b,b,x,b,b,b,b,X
b,b,b,o,x,b,b,b,b,X
b,x,b,o,x,b,b,b,b,X
b,x,o,o,x,b,b,b,b,X
x,x,o,o,x,b,b,b,b,X
x,x,o,o,x,o,b,b,b,X
x,x,o,o,x,o,b,b,x,X
b,b,b,b,b,b,b,b,x,O
b,b,o,b,b,b,b,b,x,O
b,x,o,b,b,b,b,b,x,O
b,x,o,b,b,b,o,b,x,O
b,x,o,b,b,x,o,b,x,O
b,x,o,o,b,x,o,b,x,O
b,x,o,o,b,x,o,x,x,O
o,x,o,o,b,x,o,x,x,O
b,b,b,x,b,b,b,b,b,O
b,o,b,x,b,b,b,b,b,O
b,o,x,x,b,b,b,b,b,O
b,o,x,x,b,b,b,b,o,O
b,o,x,x,b,x,b,b,o,O
b,o,x,x,o,x,b,b,o,O
b,o,x,x,o,x,x,b,o,O
b,o,x,x,o,x,x,o,o,O
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,o,b,b,b,X
b,b,b,x,b,o,b,b,x,X
b,b,b,x,b,o,b,o,x,X
b,b,b,x,b,o,x,o,x,X
b,b,b,x,o,o,x,o,x,X
x,b,b,x,o,o,x,o,x,X
b,x,b,b,b,b,b,b,b,O
b,x,b,b,b,b,b,b,o,O
b,x,b,x,b,b,b,b,o,O
b,x,b,x,b,o,b,b,o,O
x,x,b,x,b,o,b,b,o,O
x,x,b,x,b,o,b,o,o,O
x,x,b,x,x,o,b,o,o,O
x,x,b,x,x,o,o,o,o,O
b,b,b,b,b,b,x,b,b,D
b,b,b,b,o,b,x,b,b,D
x,b,b,b,o,b,x,b,b,D
x,b,o,b,o,b,x,b,b,D
x,x,o,b,o,b,x,b,b,D
x,x,o,o,o,b,x,b,b,D
x,x,o,o,o,x,x,b,b,D
x,x,o,o,o,x,x,b,o,D
x,x,o,o,o,x,x,x,o,D
b,b,b,b,b,x,b,b,b,X
o,b,b,b,b,x,b,b,b,X
o,b,b,x,b,x,b,b,b,X
o,b,o,x,b,x,b,b,b,X
o,x,o,x,b,x,b,b,b,X
o,x,o,x,b,x,b,b,o,X
o,x,o,x,x,x,b,b,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,b,x,b,x,b,o,X
b,o,b,b,x,b,x,b,o,X
b,o,b,x,x,b,x,b,o,X
b,o,b,x,x,o,x,b,o,X
x,o,b,x,x,o,x,b,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,o,x,b,b,b,b,X
b,b,b,o,x,b,x,b,b,X
b,b,b,o,x,b,x,b,o,X
b,b,x,o,x,b,x,b,o,X
b,b,b,b,b,b,x,b,b,X
b,b,o,b,b,b,x,b,b,X
x,b,o,b,b,b,x,b,b,X
x,b,o,b,o,b,x,b,b,X
x,b,o,b,o,b,x,b,x,X
x,o,o,b,o,b,x,b,x,X
x,o,o,x,o,b,x,b,x,X
b,b,b,b,b,x,b,b,b,D
b,b,b,b,b,x,o,b,b,D
b,b,b,b,b,x,o,x,b,D
b,b,b,b,b,x,o,x,o,D
x,b,b,b,b,x,o,x,o,D
x,b,b,b,o,x,o,x,o,D
x,b,b,x,o,x,o,x,o,D
x,o,b,x,o,x,o,x,o,D
x,o,x,x,o,x,o,x,o,D
b,b,b,b,b,b,x,b,b,X
o,b,b,b,b,b,x,b,b,X
o,b,x,b,b,b,x,b,b,X
o,b,x,b,o,b,x,b,b,X
o,x,x,b,o,b,x,b,b,X
o,x,x,o,o,b,x,b,b,X
o,x,x,o,o,x,x,b,b,X
o,x,x,o,o,x,x,o,b,X
o,x,x,o,o,x,x,o,x,X
b,b,b,x,b,b,b,b,b,O
b,b,b,x,b,b,b,b,o,O
b,b,b,x,b,b,b,x,o,O
b,b,o,x,b,b,b,x,o,O
x,b,o,x,b,b,b,x,o,O
x,o,o,x,b,b,b,x,o,O
x,o,o,x,x,b,b,x,o,O
x,o,o,x,x,o,b,x,o,O
b,x,b,b,b,b,b,b,b,O
b,x,b,o,b,b,b,b,b,O
b,x,b,o,b,b,x,b,b,O
b,x,b,o,b,b,x,o,b,O
x,x,b,o,b,b,x,o,b,O
x,x,b,o,o,b,x,o,b,O
x,x,b,o,o,b,x,o,x,O
x,x,b,o,o,o,x,o,x,O
b,b,b,x,b,b,b,b,b,X
b,o,b,x,b,b,b,b,b,X
b,o,b,x,b,b,x,b,b,X
b,o,b,x,b,b,x,b,o,X
x,o,b,x,b,b,x,b,o,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,b,b,b,o,X
x,b,x,b,b,b,b,b,o,X
x,b,x,b,b,o,b,b,o,X
x,b,x,b,x,o,b,b,o,X
x,b,x,o,x,o,b,b,o,X
x,x,x,o,x,o,b,b,o,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,o,b,b,X
b,b,b,b,x,x,o,b,b,X
